unknown_107,step_length,unknown_143,position_lat,power,fractional_cadence,cadence,position_long,timestamp,stance_time_balance,distance,enhanced_speed,stance_time_percent,unknown_137,enhanced_altitude,vertical_oscillation,unknown_87,accumulated_power,vertical_ratio,heart_rate,unknown_134,unknown_138,stance_time,unknown_136,unknown_140,activity_type,unknown_135
0,,24,,0,0.0,0,,2024-10-06 10:05:06,,1.06,1.064,,55,1825.8000000000002,,0,,,154,,55,,154,,running,33
0,,24,,,0.0,0,,2024-10-06 10:05:07,,2.13,1.064,,55,1826.0,,0,,,154,,55,,154,,running,33
0,,24,,0,0.0,0,,2024-10-06 10:05:08,,3.19,1.064,,55,1826.0,,0,,,153,,55,,153,,running,36
0,,24,,0,0.0,0,,2024-10-06 10:05:09,,4.25,1.064,,55,1826.0,,0,,,152,,55,,152,,running,30
0,,24,,0,0.0,0,,2024-10-06 10:05:10,,5.32,1.064,,55,1826.0,,0,,,151,,55,,151,,running,31
1,,24,510881941,0,0.0,0,17074935,2024-10-06 10:05:11,,5.32,1.064,,55,1826.0,,0,,,150,,55,,150,1064,running,25
1,,24,510881423,0,0.0,49,17075315,2024-10-06 10:05:12,,5.32,0.0,,55,1826.0,,0,,,149,,55,,149,0,running,19
1,,24,510882376,0,0.0,0,17076193,2024-10-06 10:05:13,,9.51,0.0,,55,1826.0,,0,,,148,,55,,148,0,running,10
1,,24,510882186,0,0.0,0,17075792,2024-10-06 10:05:14,,9.51,0.0,,55,1825.8000000000002,,0,,,146,,55,,146,0,running,2
1,,24,510881694,0,0.0,0,17075623,2024-10-06 10:05:15,,9.51,0.0,,55,1825.8000000000002,,0,,,145,,55,,145,0,running,1
1,,24,510881867,0,0.0,0,17075290,2024-10-06 10:05:16,,12.32,0.0,,55,1825.8000000000002,,0,,,144,,55,,144,0,running,1
1,,24,510881867,0,0.0,0,17075290,2024-10-06 10:05:17,,12.32,0.0,,55,1825.8000000000002,,0,,,143,,55,,143,0,running,0
1,,24,510881797,0,0.0,0,17075354,2024-10-06 10:05:18,,12.32,0.0,,55,1825.8000000000002,,0,,,143,,55,,143,0,running,0
1,,24,510881749,0,0.0,0,17075349,2024-10-06 10:05:19,,12.32,0.233,,55,1826.0,,0,,,142,,55,,142,233,running,1
1,,24,510881762,0,0.0,0,17075357,2024-10-06 10:05:20,,12.32,0.233,,55,1826.1999999999998,,0,,,142,,55,,142,233,running,1
1,,24,510881780,0,0.0,0,17075341,2024-10-06 10:05:21,,12.42,0.0,,55,1826.1999999999998,,0,,,141,,55,,141,0,running,1
1,,24,510881763,0,0.0,0,17075227,2024-10-06 10:05:22,,12.42,0.0,,55,1826.1999999999998,,0,,,141,,55,,141,0,running,1
1,,24,510881824,0,0.0,0,17075214,2024-10-06 10:05:23,,12.59,0.0,,55,1826.1999999999998,,0,,,141,,55,,141,0,running,1
1,,24,510881892,0,0.0,0,17075219,2024-10-06 10:05:24,,13.33,0.0,,55,1826.0,,0,,,140,,55,,140,0,running,2
1,,24,510881993,0,0.0,0,17075222,2024-10-06 10:05:25,,14.2,0.0,,55,1825.8000000000002,,0,,,140,,55,,140,0,running,2
1,,24,510882166,0,0.0,0,17075191,2024-10-06 10:05:26,,15.6,0.0,,55,1825.6,,0,,,139,,55,,139,0,running,2
1,,24,510882327,0,0.0,0,17075105,2024-10-06 10:05:27,,18.19,0.401,,55,1825.6,,0,,,139,,55,,139,401,running,2
1,,24,510882307,0,0.0,0,17075040,2024-10-06 10:05:28,,18.19,0.989,,55,1825.6,,0,,,136,,55,,136,989,running,2
1,,24,510882364,0,0.0,0,17074956,2024-10-06 10:05:29,,19.24,1.017,,55,1825.6,,0,,,136,,55,,136,1017,running,2
1,,24,510882434,0,0.0,0,17074846,2024-10-06 10:05:30,,20.21,1.017,,55,1825.6,,0,,,135,,55,,135,1017,running,1
1,,24,510882534,0,0.0,0,17074778,2024-10-06 10:05:31,,20.95,1.017,,55,1825.6,,0,,,134,,55,,134,1017,running,2
1,,24,510882514,0,0.0,0,17074769,2024-10-06 10:05:32,,20.95,0.0,,55,1825.8000000000002,,0,,,133,,55,,133,0,running,2
1,,24,510882515,7,0.5,43,17074791,2024-10-06 10:05:33,,20.95,0.0,,55,1826.0,,0,7,,133,,55,,133,0,running,2
1,,24,510882611,11,0.5,43,17074835,2024-10-06 10:05:34,,21.78,0.0,,55,1826.1999999999998,,0,18,,133,,55,,133,0,running,2
1,,24,510882733,16,0.0,43,17074897,2024-10-06 10:05:35,,22.48,0.0,,55,1826.4,,0,34,,132,,55,,132,0,running,5
1,,24,510882899,23,0.5,42,17074963,2024-10-06 10:05:36,,24.63,0.0,,55,1826.6,,0,57,,131,,55,,131,0,running,7
1,,24,510882994,63,0.5,42,17074985,2024-10-06 10:05:37,,25.66,0.243,,55,1826.6,49.3,0,120,,131,,55,,131,243,running,7
1,,24,510883043,65,0.5,42,17075077,2024-10-06 10:05:38,,26.26,0.289,,55,1826.8000000000002,49.6,54711,185,,131,,55,,131,289,running,7
1,,24,510883131,67,0.0,41,17075167,2024-10-06 10:05:39,,27.37,0.317,,55,1827.4,49.9,0,252,,131,,55,,131,317,running,7
1,,24,510883200,69,0.0,41,17075267,2024-10-06 10:05:40,,28.14,0.355,,55,1827.4,50.2,0,321,,130,,55,,130,355,running,16
1,,24,510883426,69,0.0,41,17075428,2024-10-06 10:05:41,,29.97,0.383,,55,1827.4,50.4,0,390,,130,,55,,130,383,running,16
1,,24,510883547,70,0.0,41,17075426,2024-10-06 10:05:42,,31.63,0.439,,55,1827.8000000000002,50.8,0,460,,130,,55,,130,439,running,16
1,,24,510883556,72,0.0,41,17075309,2024-10-06 10:05:43,,31.63,0.476,,55,1827.8000000000002,51.1,0,532,,130,,55,,130,476,running,16
1,,24,510883528,73,0.0,41,17075137,2024-10-06 10:05:44,,32.7,0.495,,55,1827.8000000000002,51.3,0,605,,130,,55,,130,495,running,16
1,,24,510883545,75,0.0,41,17075086,2024-10-06 10:05:45,,32.81,0.513,,55,1827.8000000000002,51.4,0,680,,129,,55,,129,513,running,30
1,,24,510883590,78,0.0,43,17074845,2024-10-06 10:05:46,,34.54,0.523,,55,1827.8000000000002,51.5,0,758,,129,,55,,129,523,running,30
1,,24,510883618,82,0.0,43,17074640,2024-10-06 10:05:47,,36.02,0.644,,55,1828.0,52.5,0,840,,129,,55,,129,644,running,30
1,,24,510883661,85,0.0,43,17074457,2024-10-06 10:05:48,,37.34,0.718,,55,1828.1999999999998,53.1,0,925,,129,,55,,129,718,running,30
1,,24,510883673,88,0.0,43,17074327,2024-10-06 10:05:49,,38.16,0.812,,55,1828.1999999999998,53.9,0,1013,,128,,55,,128,812,running,39
1,,24,510883649,89,0.0,43,17074220,2024-10-06 10:05:50,,38.73,0.83,,55,1828.4,54.0,0,1102,,128,,55,,128,830,running,39
1,,24,510883727,88,0.0,43,17074164,2024-10-06 10:05:51,,39.37,0.849,,55,1828.4,54.2,0,1190,,129,,55,,129,849,running,45
1,,24,510883845,90,0.0,45,17074095,2024-10-06 10:05:52,,40.02,0.858,,55,1828.4,54.2,0,1280,,129,,55,,129,858,running,45
1,,24,510883972,88,0.0,45,17073962,2024-10-06 10:05:53,,42.05,0.877,,55,1828.4,54.4,0,1368,,129,,55,,129,877,running,45
1,,24,510884044,97,0.0,45,17073919,2024-10-06 10:05:54,,43.41,1.026,,55,1828.6,55.6,0,1465,,129,,55,,129,1026,running,45
1,,24,510884001,100,0.0,45,17073892,2024-10-06 10:05:55,,43.41,1.026,,55,1828.6,55.6,0,1565,,129,,55,,129,1026,running,45
1,,24,510884096,102,0.0,45,17073820,2024-10-06 10:05:56,,44.55,1.017,,55,1828.6,55.5,0,1667,,129,,55,,129,1332,running,45
1,,24,510884143,102,0.0,45,17073734,2024-10-06 10:05:57,,44.8,1.017,,55,1828.8000000000002,55.5,0,1769,,131,,55,,131,1332,running,53
1,,24,510884195,99,0.0,45,17073557,2024-10-06 10:05:58,,46.53,1.008,,55,1828.8000000000002,55.4,0,1868,,137,,55,,137,1320,running,40
1,,24,510884183,93,0.0,41,17073467,2024-10-06 10:05:59,,47.19,1.008,,55,1829.1999999999998,55.4,0,1961,,142,,55,,142,1320,running,26
1,,24,510884218,93,0.0,41,17073318,2024-10-06 10:06:00,,47.73,0.97,,55,1829.1999999999998,55.1,0,2054,,144,,55,,144,1271,running,20
1,,24,510884322,96,0.0,41,17073180,2024-10-06 10:06:01,,48.74,1.008,,54,1829.4,55.4,0,2150,,145,,52,,145,1320,running,13
1,,24,510884495,103,0.5,42,17073133,2024-10-06 10:06:02,,51.22,1.026,,54,1829.6,55.6,3670,2253,,144,,52,,144,1344,running,2
1,,24,510884524,107,0.5,42,17073172,2024-10-06 10:06:03,,51.42,1.036,,54,1830.0,55.7,0,2360,,144,,52,,144,1356,running,2
1,943.0,24,510884556,131,0.5,42,17073208,2024-10-06 10:06:04,,51.77,1.353,,54,1830.1999999999998,58.2,0,2491,6.17,144,,52,,144,1772,running,2
1,966.0,24,510884626,130,0.5,41,17073254,2024-10-06 10:06:05,,52.29,1.353,,54,1830.8000000000002,58.2,0,2621,6.03,143,,52,,143,1772,running,2
1,906.0,24,510884680,127,0.5,41,17073346,2024-10-06 10:06:06,,53.23,1.269,,54,1831.1999999999998,57.6,0,2748,6.35,143,,52,,143,1662,running,2
1,,24,510884727,123,0.5,42,17073415,2024-10-06 10:06:07,,53.51,1.176,,54,1831.4,56.8,0,2871,,143,,52,,143,1540,running,2
1,,24,510884815,175,0.0,76,17073488,2024-10-06 10:06:08,,54.79,1.11,,54,1831.4,60.4,0,3046,,143,,52,334.0,143,1454,running,2
1,,24,510884878,175,0.0,76,17073551,2024-10-06 10:06:09,,55.5,1.11,,54,1831.6,60.4,0,3221,,143,,52,334.0,143,1454,running,2
1,,24,510884975,180,0.0,76,17073671,2024-10-06 10:06:10,,56.73,1.157,,54,1831.6,61.8,0,3401,,143,,52,333.0,143,1515,running,2
1,,24,510884945,184,0.0,80,17073696,2024-10-06 10:06:11,,56.77,1.185,,54,1831.6,60.2,0,3585,,145,,52,316.0,145,1552,running,2
1,472.0,24,510884802,191,0.0,80,17073812,2024-10-06 10:06:12,,57.38,1.26,,54,1831.8000000000002,62.0,0,3776,13.14,146,,52,315.0,146,1650,running,2
1,495.0,24,510884857,191,0.5,77,17073861,2024-10-06 10:06:13,,57.95,1.288,,54,1832.0,64.3,0,3967,13.0,148,,52,322.0,148,1686,running,1
1,534.0,24,510884937,197,0.5,77,17073944,2024-10-06 10:06:14,,58.64,1.39,,54,1832.0,67.5,0,4164,12.64,148,,52,319.0,148,1821,running,1
1,534.0,24,510885069,195,0.5,77,17073991,2024-10-06 10:06:15,,60.29,1.39,,54,1832.0,67.5,0,4359,12.64,149,,52,319.0,149,2180,running,1
1,604.0,24,510885110,183,0.0,69,17074008,2024-10-06 10:06:16,,60.45,1.39,,54,1832.1999999999998,63.8,0,4542,10.55,150,,52,406.0,150,2180,running,1
1,588.0,24,510885196,177,0.0,69,17074105,2024-10-06 10:06:17,,61.65,1.353,,54,1832.0,62.3,0,4719,10.6,149,,52,408.0,149,2121,running,1
1,572.0,24,510885187,173,0.0,69,17074215,2024-10-06 10:06:18,,62.15,1.316,,54,1832.1999999999998,61.0,0,4892,10.67,149,,52,409.0,149,2063,running,1
1,492.0,24,510885188,181,0.0,79,17074359,2024-10-06 10:06:19,,63.12,1.297,,54,1832.1999999999998,63.8,0,5073,12.96,149,,52,318.0,149,2034,running,1
1,,24,510885179,165,0.0,79,17074466,2024-10-06 10:06:20,,63.82,1.073,,54,1832.6,57.8,0,5238,,149,,52,322.0,149,1682,running,1
1,,24,510885165,161,0.0,78,17074598,2024-10-06 10:06:21,,64.79,1.036,,54,1832.6,57.2,28210,5399,,149,,52,327.0,149,1624,running,1
1,,24,510885147,159,0.0,78,17074758,2024-10-06 10:06:22,,66.06,1.017,,54,1832.6,56.8,28210,5558,,149,,52,327.0,149,1595,running,1
1,,24,510885144,158,0.0,78,17074858,2024-10-06 10:06:23,,66.53,1.008,,54,1832.6,56.6,28210,5716,,150,,52,327.0,150,1580,running,4
1,,24,510885149,156,0.0,77,17074987,2024-10-06 10:06:24,,67.57,1.008,,54,1832.8000000000002,56.8,28210,5872,,150,,52,332.0,150,1580,running,4
1,,24,510885174,153,0.0,76,17075065,2024-10-06 10:06:25,,68.1,0.97,,54,1832.8000000000002,56.4,28210,6025,,150,,52,336.0,150,1522,running,4
1,,24,510885186,149,0.0,76,17075163,2024-10-06 10:06:26,,68.66,0.914,,54,1833.0,55.0,28210,6174,,151,,52,336.0,151,1434,running,4
1,,24,510885215,143,0.0,76,17075345,2024-10-06 10:06:27,,70.06,0.802,,54,1833.1999999999998,52.3,28210,6317,,151,,52,336.0,151,1258,running,4
1,,24,510885207,143,0.0,76,17075442,2024-10-06 10:06:28,,70.88,0.802,,54,1833.1999999999998,52.3,28210,6460,,151,,52,336.0,151,1258,running,4
1,,24,510885240,153,0.0,78,17075559,2024-10-06 10:06:29,,71.77,0.961,,54,1833.4,55.2,28210,6613,,150,,52,328.0,150,1507,running,5
1,,24,510885292,154,0.0,78,17075716,2024-10-06 10:06:30,,72.85,0.961,,54,1833.6,55.2,28210,6767,,150,,52,328.0,150,1507,running,5
1,,24,510885343,104,0.0,41,17075781,2024-10-06 10:06:31,,73.54,0.961,,54,1833.8000000000002,55.1,28210,6871,,150,,52,,150,1507,running,5
1,,24,510885419,104,0.0,41,17075774,2024-10-06 10:06:32,,73.54,0.942,,54,1834.0,54.9,28210,6975,,150,,52,,150,1478,running,5
1,,24,510885479,102,0.0,41,17075824,2024-10-06 10:06:33,,73.98,0.886,,54,1834.1999999999998,54.5,28210,7077,,151,,52,,151,1390,running,7
1,,24,510885533,152,0.0,78,17075832,2024-10-06 10:06:34,,74.52,0.877,,54,1834.4,53.4,28210,7229,,151,,52,328.0,151,1375,running,7
1,,24,510885529,151,0.0,79,17075869,2024-10-06 10:06:35,,74.72,0.868,,54,1834.4,52.8,28210,7380,,151,,52,324.0,151,1361,running,7
1,,24,510885538,153,0.0,79,17075967,2024-10-06 10:06:36,,75.27,0.933,,54,1834.6,54.2,0,7533,,151,,52,324.0,151,1463,running,7
1,,24,510885546,103,0.5,41,17076108,2024-10-06 10:06:37,,76.36,0.933,,54,1834.8000000000002,54.8,0,7636,,151,,52,,151,1463,running,7
1,,24,510885551,100,0.5,41,17076143,2024-10-06 10:06:38,,76.57,0.858,,54,1834.8000000000002,54.2,0,7736,,152,,52,,152,1346,running,9
1,,24,510885516,100,0.5,41,17076284,2024-10-06 10:06:39,,77.46,0.84,,54,1834.8000000000002,54.1,0,7836,,152,,52,,152,1317,running,9
1,,24,510885492,98,0.5,41,17076441,2024-10-06 10:06:40,,78.53,0.746,,54,1834.8000000000002,53.3,0,7934,,152,,52,,152,1170,running,9
1,,24,510885460,97,0.5,41,17076570,2024-10-06 10:06:41,,79.44,0.746,,54,1835.0,53.3,0,8031,,152,,52,,152,1170,running,9
1,,24,510885475,98,0.5,41,17076655,2024-10-06 10:06:42,,79.91,0.849,,54,1835.1999999999998,54.2,28210,8129,,152,,52,,152,1331,running,9
1,,24,510885446,98,0.5,41,17076867,2024-10-06 10:06:43,,81.47,0.849,,54,1835.1999999999998,54.2,28210,8227,,151,,52,,151,1331,running,7
1,,24,510885430,107,0.0,47,17076984,2024-10-06 10:06:44,,82.31,0.858,,54,1835.4,54.2,28210,8334,,151,,52,,151,1346,running,7
1,,24,510885424,109,0.0,47,17077113,2024-10-06 10:06:45,,83.28,0.905,,54,1835.4,54.6,28210,8443,,150,,52,,150,1419,running,4
1,,24,510885441,106,0.5,45,17077208,2024-10-06 10:06:46,,84.02,0.905,,54,1835.4,54.6,28210,8549,,150,,52,,150,1419,running,4
1,,24,510885478,105,0.5,45,17077349,2024-10-06 10:06:47,,85.02,0.905,,54,1835.6,54.6,28210,8654,,150,,52,,150,1399,running,4
1,,24,510885454,99,0.5,43,17077490,2024-10-06 10:06:48,,85.84,0.896,,54,1835.8000000000002,54.5,28210,8753,,150,,52,,150,1384,running,4
1,,24,510885487,99,0.5,42,17077579,2024-10-06 10:06:49,,86.55,0.896,,54,1836.0,54.5,28210,8852,,149,,52,,149,1384,running,4
1,,24,510885543,98,0.5,42,17077670,2024-10-06 10:06:50,,87.27,0.877,,54,1836.0,54.4,28210,8950,,149,,52,,149,1355,running,4
1,,24,510885601,98,0.5,42,17077859,2024-10-06 10:06:51,,88.61,0.849,,54,1836.0,54.2,28210,9048,,149,,52,,149,1312,running,4
1,,24,510885621,99,0.5,42,17077902,2024-10-06 10:06:52,,88.9,0.858,,54,1836.4,54.2,28210,9147,,149,,52,,149,1327,running,4
1,,24,510885666,100,0.5,42,17077934,2024-10-06 10:06:53,,89.29,0.896,,54,1836.6,54.5,28210,9247,,150,,52,,150,1384,running,2
1,,24,510885750,102,0.5,42,17077962,2024-10-06 10:06:54,,89.84,0.896,,54,1837.0,54.5,28210,9349,,150,,52,,150,1384,running,2
1,,24,510885873,104,0.5,42,17078006,2024-10-06 10:06:55,,90.51,0.886,,54,1837.1999999999998,54.5,28210,9453,,150,,52,,150,1370,running,2
1,,24,510886017,106,0.5,42,17078020,2024-10-06 10:06:56,,92.4,0.877,,54,1837.1999999999998,54.4,28210,9559,,150,,52,,150,1355,running,2
1,,24,510886108,0,0.0,0,17077991,2024-10-06 10:06:57,,93.55,0.877,,54,1837.4,,28210,9559,,150,,52,,150,1355,running,2
1,,24,510886174,0,0.0,0,17078004,2024-10-06 10:06:58,,94.07,0.924,,54,1837.6,,0,9559,,150,,52,,150,1427,running,2
1,,24,510886184,0,0.0,0,17078052,2024-10-06 10:06:59,,94.22,0.933,,54,1838.0,,0,9559,,150,,52,,150,1480,running,2
1,,24,510886248,0,0.0,0,17078147,2024-10-06 10:07:00,,94.99,0.933,,54,1838.1999999999998,,28210,9559,,150,,52,,150,1480,running,2
1,,24,510886294,0,0.0,0,17078221,2024-10-06 10:07:01,,95.9,0.914,,54,1838.4,,28210,9559,,150,,52,,150,1450,running,2
1,,24,510886351,0,0.0,0,17078259,2024-10-06 10:07:02,,96.12,0.905,,54,1838.8000000000002,,28210,9559,,150,,52,,150,1435,running,2
1,,24,510886467,0,0.0,0,17078220,2024-10-06 10:07:03,,96.85,0.896,,54,1839.0,,28210,9559,,150,,52,,150,1420,running,2
1,,24,510886627,0,0.0,0,17078153,2024-10-06 10:07:04,,98.26,0.886,,54,1839.0,,28210,9559,,150,,52,,150,1406,running,2
1,,24,510886707,83,0.5,43,17078103,2024-10-06 10:07:05,,99.45,0.886,,54,1839.1999999999998,54.5,28210,9642,,152,,52,,152,1406,running,5
1,,24,510886839,101,0.5,43,17078082,2024-10-06 10:07:06,,100.63,0.886,,54,1839.1999999999998,54.5,0,9743,,153,,52,,153,1406,running,4
1,,24,510886977,107,0.0,43,17078140,2024-10-06 10:07:07,,101.95,0.896,,54,1839.4,54.5,0,9850,,153,,52,,153,1420,running,4
1,,24,510887072,111,0.0,43,17078194,2024-10-06 10:07:08,,102.97,0.896,,54,1839.4,54.5,0,9961,,152,,52,,152,1420,running,8
1,,24,510887145,116,0.0,43,17078209,2024-10-06 10:07:09,,103.77,0.933,,54,1839.6,54.8,0,10077,,152,,52,,152,1480,running,8
1,,24,510887162,120,0.0,43,17078204,2024-10-06 10:07:10,,104.09,0.933,,54,1839.8000000000002,54.8,0,10197,,152,,52,,152,1480,running,8
1,,24,510887177,119,0.0,40,17078205,2024-10-06 10:07:11,,104.18,0.933,,53,1840.0,54.8,0,10316,,152,,52,,152,1480,running,8
1,,24,510887170,122,0.0,41,17078229,2024-10-06 10:07:12,,104.18,0.914,,53,1840.1999999999998,54.7,0,10438,,152,,52,,152,1639,running,8
1,,24,510887249,123,0.0,41,17078238,2024-10-06 10:07:13,,104.84,0.868,,53,1840.4,54.3,0,10561,,152,,52,,152,1555,running,8
